robot_id,1,,,,,,,,,,,,,,,,,,,,,
file_version,3.0.0,,,,,,,,,,,,,,,,,,,,,
MS ID,MS Name,MD ID,P vector,,,,,,,,,,,,,,,,,,,
,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
19,REVERSE_9_BLBBLBB,MD0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD2,"2418.0,3000,0,0","2058.0,4000,0,0","1749.0,3434,0,0","1389.0,4000,0,0","1029.0,4000,0,0","720.0,3434,0,0","360.0,4000,0,0","0.0,4000,0,0","0.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-
,,MD3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD6,"1182.0,3000,0,0","822.0,4000,0,0","1131.0,3434,0,0","771.0,4000,0,0","411.0,4000,0,0","720.0,3434,0,0","360.0,4000,0,0","0.0,4000,0,0","0.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-
,,MD7,"1182.0,3000,0,0","822.0,4000,0,0","1131.0,3434,0,0","771.0,4000,0,0","411.0,4000,0,0","720.0,3434,0,0","360.0,4000,0,0","0.0,4000,0,0","0.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-
,,MD8,"2418.0,3000,0,0","2058.0,4000,0,0","1749.0,3434,0,0","1389.0,4000,0,0","1029.0,4000,0,0","720.0,3434,0,0","360.0,4000,0,0","0.0,4000,0,0","0.0,500,0,0",-,-,-,-,-,-,-,-,-,-,-
,,MD9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,MD11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
